Frame,Score,Motion,People,Level
326,0.05,0.0,7,Normal
327,0.05,0.0,8,Normal
328,0.05,0.0,8,Normal
329,0.05,0.0,6,Normal
330,0.05,0.0,6,Normal
331,0.7,0.0,6,Medium
332,0.71,0.01771895846057671,6,High
333,0.66,0.018893729046297814,5,Medium
334,0.73,0.051650140114673206,6,High
335,0.67,0.03840848590666961,5,Medium
336,0.67,0.04911444614685085,5,Medium
337,0.68,0.06540496823342308,5,Medium
338,0.75,0.10241028321402788,6,High
339,0.05,0.0,6,Normal
340,0.05,0.0,6,Normal
341,0.65,0.0,5,Medium
342,0.67,0.04547910398057982,5,Medium
